sum,state
7,Vermont
8,Wyoming
9,North Dakota
13,New Hampshire
17,South Dakota
22,Idaho
23,Montana
27,Hawaii
27,Maine
30,Rhodes Island
39,Iowa
43,Alaska
52,Delaware
57,West Virginia
58,Nebraska
58,Utah
93,Oregon
105,Minnesota
107,Kansas
134,Connecticut
134,District of Columbia
141,Arkansas
142,New Mexico
145,Colorado
170,Wisconsin
174,Mississippi
175,Nevada
175,Washington
189,Kentucky
191,Alabama
209,Oklahoma
219,Massachusetts
278,South Carolina
291,Indiana
387,Virginia
392,New Jersey
397,Tennessee
400,Arizona
445,Maryland
450,Missouri
468,North Carolina
472,Illinois
481,Ohio
493,Louisiana
565,Georgia
606,Michigan
699,Pennsylvania
863,New York
1130,Florida
1363,Texas
1948,California
